date,size,hash,url,datetime
2015-03-24,125320,983002e349f3ee39a26e1b9125969d78,http://data.gdeltproject.org/gdeltv2/20150324234500.export.CSV.zip,2015-03-24 23:45:00
2015-03-25,125545,eb144807076239492f469b874ada2ba0,http://data.gdeltproject.org/gdeltv2/20150325234500.export.CSV.zip,2015-03-25 23:45:00
2015-03-26,132503,9700a4e029fcb1b07f288cedc8fd2244,http://data.gdeltproject.org/gdeltv2/20150326234500.export.CSV.zip,2015-03-26 23:45:00
2015-03-27,106423,32fbdc1fe4523d4e618fe9ab30955df3,http://data.gdeltproject.org/gdeltv2/20150327234500.export.CSV.zip,2015-03-27 23:45:00
2015-03-28,54812,32b54c41540749752945649f62d40fee,http://data.gdeltproject.org/gdeltv2/20150328234500.export.CSV.zip,2015-03-28 23:45:00
2015-03-29,73705,07ff47e02efc33994eb604845ca37967,http://data.gdeltproject.org/gdeltv2/20150329234500.export.CSV.zip,2015-03-29 23:45:00
2015-03-30,134432,f0fee7170fe1316909a8d75728f47872,http://data.gdeltproject.org/gdeltv2/20150330234500.export.CSV.zip,2015-03-30 23:45:00
2015-03-31,128353,97a28790b73d1705cc2061866db0dcd3,http://data.gdeltproject.org/gdeltv2/20150331234500.export.CSV.zip,2015-03-31 23:45:00
2015-04-01,150239,bce33e2fda3a1a7bdbafdadbfd9835de,http://data.gdeltproject.org/gdeltv2/20150401234500.export.CSV.zip,2015-04-01 23:45:00
2015-04-02,95785,4eedd1db8c825b0de506618fd6035e05,http://data.gdeltproject.org/gdeltv2/20150402234500.export.CSV.zip,2015-04-02 23:45:00
2015-04-03,96893,3e6552bb588dce1c7731d3143bf559c0,http://data.gdeltproject.org/gdeltv2/20150403234500.export.CSV.zip,2015-04-03 23:45:00
2015-04-04,78127,f7066a5876fa1dc9926722566d484555,http://data.gdeltproject.org/gdeltv2/20150404234500.export.CSV.zip,2015-04-04 23:45:00
2015-04-05,81597,2ee4055917c4ad104675f8be15880ae1,http://data.gdeltproject.org/gdeltv2/20150405234500.export.CSV.zip,2015-04-05 23:45:00
2015-04-06,110390,c9bb4c64cfa9190035e412f880683736,http://data.gdeltproject.org/gdeltv2/20150406234500.export.CSV.zip,2015-04-06 23:45:00
2015-04-07,130388,11031ed256ab1dd8aaa2f3977761429e,http://data.gdeltproject.org/gdeltv2/20150407234500.export.CSV.zip,2015-04-07 23:45:00
2015-04-08,130979,ee42fde333bc108d03a1434ff83e2343,http://data.gdeltproject.org/gdeltv2/20150408234500.export.CSV.zip,2015-04-08 23:45:00
2015-04-09,127971,b71539b972c8c2cd7b7353bea5e3da27,http://data.gdeltproject.org/gdeltv2/20150409234500.export.CSV.zip,2015-04-09 23:45:00
2015-04-10,138957,39da7d122c645d698dab41a5247484b0,http://data.gdeltproject.org/gdeltv2/20150410234500.export.CSV.zip,2015-04-10 23:45:00
2015-04-11,64650,b039819fe6eb5cb6bfb007b22a90f068,http://data.gdeltproject.org/gdeltv2/20150411234500.export.CSV.zip,2015-04-11 23:45:00
2015-04-12,81093,cf342f887b63e4de0c8932417fb52493,http://data.gdeltproject.org/gdeltv2/20150412234500.export.CSV.zip,2015-04-12 23:45:00
2015-04-13,125973,a13e826326a38d814848b062453ba5d7,http://data.gdeltproject.org/gdeltv2/20150413234500.export.CSV.zip,2015-04-13 23:45:00
2015-04-14,128134,0dc060eb7f355a14121846e19969b223,http://data.gdeltproject.org/gdeltv2/20150414234500.export.CSV.zip,2015-04-14 23:45:00
2015-04-15,122398,9eadbd1d7dd5bb71d98d85e3bc4e4122,http://data.gdeltproject.org/gdeltv2/20150415234500.export.CSV.zip,2015-04-15 23:45:00
2015-04-16,123217,c5763a2d78f8170552e5dcd270915e4d,http://data.gdeltproject.org/gdeltv2/20150416234500.export.CSV.zip,2015-04-16 23:45:00
2015-04-17,97415,7e04f53b6c7a276715a2178f12aaa970,http://data.gdeltproject.org/gdeltv2/20150417234500.export.CSV.zip,2015-04-17 23:45:00
2015-04-18,62977,f605dfd73e3cb3fa76d4232df58b15db,http://data.gdeltproject.org/gdeltv2/20150418234500.export.CSV.zip,2015-04-18 23:45:00
2015-04-19,74283,cccc01f9293033fedeb82c952c09013f,http://data.gdeltproject.org/gdeltv2/20150419234500.export.CSV.zip,2015-04-19 23:45:00
